elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
2182,1.0,0:36:22,33.8,7.687,45.836600000000004,08/12/19 20:02:16,27.0
2192,1.0,0:36:32,33.8,7.625,45.725,08/12/19 20:02:26,27.0
2202,1.0,0:36:42,33.8,7.562,45.6116,08/12/19 20:02:36,27.0
2212,1.0,0:36:52,33.8,7.5,45.5,08/12/19 20:02:46,27.0
2222,1.0,0:37:02,33.8,7.437,45.3866,08/12/19 20:02:56,27.0
2232,1.0,0:37:12,33.8,7.375,45.275,08/12/19 20:03:06,27.0
2242,1.0,0:37:22,33.8,7.312,45.1616,08/12/19 20:03:16,27.0
2252,1.0,0:37:32,33.8,7.25,45.05,08/12/19 20:03:26,27.0
2262,1.0,0:37:42,33.8,7.187,44.9366,08/12/19 20:03:36,27.0
2272,1.0,0:37:52,33.8,7.125,44.9366,08/12/19 20:03:46,27.0
2282,1.0,0:38:02,33.8,7.062,44.711600000000004,08/12/19 20:03:56,27.0
2292,1.0,0:38:12,33.8,7.0,44.711600000000004,08/12/19 20:04:06,27.0
2302,1.0,0:38:22,33.8,6.937,44.6,08/12/19 20:04:16,27.0
2312,1.0,0:38:32,33.8,6.875,44.4866,08/12/19 20:04:26,27.0
2322,1.0,0:38:42,33.8,6.875,44.375,08/12/19 20:04:36,27.0
2332,1.0,0:38:52,33.8,6.812,44.2616,08/12/19 20:04:46,27.0
2342,1.0,0:39:02,33.8,6.75,44.15,08/12/19 20:04:56,27.0
2352,1.0,0:39:12,33.8,6.687,44.0366,08/12/19 20:05:06,27.0
2362,1.0,0:39:22,33.8,6.625,43.925,08/12/19 20:05:16,27.0
2372,1.0,0:39:32,33.8,6.562,43.8116,08/12/19 20:05:26,27.0
2382,1.0,0:39:42,33.8,6.5,43.7,08/12/19 20:05:36,27.0
2392,1.0,0:39:52,33.8,6.437,43.586600000000004,08/12/19 20:05:46,27.0
2402,1.0,0:40:02,33.8,6.375,43.475,08/12/19 20:05:56,27.0
2412,1.0,0:40:12,33.8,6.312,43.3616,08/12/19 20:06:06,27.0
2422,1.0,0:40:22,33.8,6.312,43.3616,08/12/19 20:06:16,27.0
